DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
ABW;BOG;200;60;265743;
ABW;BOG;998;302;1326087;
ABW;BOG;798;241;1060343;
ABW;BOG;600;181;797231;
ABW;BOG;200;60;265743;
ABW;BOG;7985;2418;10610277;
ABW;BOG;71;362;1591831;
ABW;BOG;225;3300;13598046;
ABW;BOG;86;1444;5950999;
ABW;BOG;21;350;1445472;
ABW;BOG;113;3388;13963915;
ABW;BOG;241;5254;21651509;
ABW;BOG;60;1682;6933355;
ABW;BOG;228;4975;20501444;
ABW;BOG;12;54;225233;
ABW;BOG;52;582;2468706;
ABW;BOG;29;230;977860;
ABW;BOG;41;2393;10022194;
ABW;BOG;36;1953;8179742;
ABW;BOG;310;6635;27783323;
ABW;BOG;144;6164;25810404;
ABW;BOG;16;1099;4602361;
ABW;BOG;325;15457;63692423;
ABW;BOG;21;567;2336391;
ABW;BOG;4725;1542;6687716;
ABW;BOG;250;35;146545;
ABW;BOG;1750;242;1045087;
ABW;BOG;2630;657;2824402;
ABW;BOG;1660;498;2147191;
ABW;BOG;500;316;1376905;
ABW;BOG;5437;2689;11577033;
ABW;BOG;188;2514;10734050;
ABW;BOG;60;122;517399;
ABW;BOG;55;124;525195;
ABW;BOG;168;366;1546171;
ABW;BOG;60;122;526943;
ABW;BOG;55;124;535375;
ABW;BOG;168;366;1577244;
ABW;BOG;389;348101;1508545745;
ABW;BOG;474;3792;16032757;
BIH;BOG;5;40;168558;
BIH;BOG;31755;8891;37534489;
BIH;BOG;9000;1080;4559101;
AGO;BOG;3;12299;52262615;
AGO;BOG;30;354;1507842;
AGO;BOG;9;299;1273212;
AGO;BOG;23;1455;6183229;
AGO;BOG;2;565;2403659;
SAU;BOG;920;766;3241562;
SAU;BOG;8772;5875;24801763;
SAU;BOG;11948;9418;40272653;
SAU;BOG;10;138;601597;
SAU;BOG;962;365;1593622;
SAU;BOG;30;121;512749;
SAU;BOG;20;118;500058;
SAU;BOG;28;128;541941;
SAU;BOG;16;67;284296;
SAU;BOG;14;50;213222;
SAU;BOG;45;138;586997;
SAU;BOG;25;148;628245;
SAU;BOG;15;78;332102;
SAU;BOG;20;90;380754;
SAU;BOG;17;9267;37566193;
SAU;BOG;6;1711;6935983;
SAU;BOG;3;891;3611900;
SAU;BOG;16;20146;84895018;
SAU;BOG;6;51444;216785832;
SAU;BOG;12900;4093;16950872;
SAU;BOG;800;152;629497;
SAU;BOG;210;2;8697;
SAU;BOG;540;172;715639;
SAU;BOG;610;684;2834808;
SAU;BOG;700;219;906973;
SAU;BOG;469;2582;10693172;
SAU;BOG;5040;46176;194586301;
SAU;BOG;8400;76960;324950816;
SAU;BOG;4219;14840;65099789;
SAU;BOG;720;10320;42739557;
SAU;BOG;130;1096;4688905;
SAU;BOG;260;1508;6466504;
SAU;BOG;133;617;2647692;
SAU;BOG;73;482;2084242;
SAU;BOG;153;1153;4963867;
SAU;BOG;12;112;478615;
SAU;BOG;20;180;756275;
SAU;BOG;2;119;508026;
SAU;BOG;8;0;2882;
SAU;BOG;0;7;30774;
SAU;BOG;0;1863;7897655;
SAU;BOG;4;1777;7551947;
SAU;BOG;1;424;1798628;
DZA;BOG;17;750;3166042;
DZA;BOG;2943;19755;83741533;
ARG;BOG;50;1909;8045775;
ARG;BOG;61;38950;165498550;
ARG;BOG;2;3250;13809250;
ARG;BOG;31460;3146;13313777;
ARG;BOG;95950;26446;115290872;
ARG;BOG;51702;10376;43708900;
